epoch,training_loss
1,0.2815439701080322
2,0.26459717750549316
3,0.24776960909366608
4,0.23058028519153595
5,0.21455390751361847
6,0.19917316734790802
7,0.18556472659111023
8,0.17168866097927094
9,0.1595527082681656
10,0.14663881063461304
11,0.13599535822868347
12,0.12537050247192383
13,0.11642742902040482
14,0.10968799889087677
15,0.10282917320728302
16,0.0969887524843216
17,0.09169310331344604
18,0.08996734023094177
19,0.0870216116309166
20,0.08504702150821686
21,0.0863262191414833
22,0.0854785293340683
23,0.0862671285867691
24,0.08627564460039139
25,0.08475004136562347
26,0.08439549803733826
27,0.08433715999126434
28,0.0833786129951477
29,0.08156217634677887
30,0.07899577915668488
31,0.0771661177277565
32,0.07771731913089752
33,0.07691960781812668
34,0.07480058073997498
35,0.07364736497402191
36,0.07275955379009247
37,0.07239251583814621
38,0.07166027277708054
39,0.071327313780784607
40,0.07054690271615982
41,0.07008416205644608
42,0.0697411298751831
43,0.06855320930480957
44,0.06881114095449448
45,0.0688454881310463
46,0.06739187240600586
47,0.06647444516420364
48,0.06675250083208084
49,0.06544307619333267
50,0.06556869298219681
51,0.06415408104658127
52,0.062485042959451675
53,0.06257828325033188
54,0.06214851140975952
55,0.06212026998400688
56,0.06200159341096878
57,0.06118004769086838
58,0.06101764738559723
59,0.060940563678741455
60,0.059659842401742935
61,0.060026638209819794
62,0.05904744192957878
63,0.058269649744033813
64,0.0584418959915638
65,0.058034542948007584
66,0.0566813163459301
67,0.056927043944597244
68,0.05671129748225212
69,0.05622495338320732
70,0.056080546230077744
71,0.05572162941098213
72,0.056150536984205246
73,0.05464126914739609
74,0.05479772761464119
75,0.054934196174144745
76,0.053972214460372925
77,0.05343664437532425
78,0.05385194346308708
79,0.05213054269552231
80,0.053410161286592484
81,0.05234447121620178
82,0.0528671033680439
83,0.052368756383657455
84,0.05199053883552551
85,0.05198071524500847
86,0.05262802913784981
87,0.051851361989974976
88,0.05139177292585373
89,0.0510612316429615
90,0.05082479864358902
91,0.05105597525835037
92,0.05052649974822998
93,0.05079678073525429
94,0.05042567476630211
95,0.05028625950217247
96,0.04991569370031357
97,0.04976591840386391
98,0.05014079436659813
99,0.05004304647445679
100,0.050273600965738297
